Date,AAPL,KO,MDLZ,SHOP
2019-02-25,43.557498931884766,44.939998626708984,47.209999084472656,18.75
2019-02-26,43.58250045776367,44.689998626708984,47.43000030517578,18.503000259399414
2019-02-27,43.717498779296875,44.939998626708984,47.130001068115234,18.920000076293945
2019-02-28,43.287498474121094,45.34000015258789,47.15999984741211,18.915000915527344
2019-03-01,43.74250030517578,45.380001068115234,47.22999954223633,19.152000427246094
2019-03-04,43.962501525878906,45.650001525878906,46.9900016784668,18.64699935913086
2019-03-05,43.88249969482422,45.599998474121094,46.93000030517578,18.75
2019-03-06,43.630001068115234,45.45000076293945,46.970001220703125,18.73699951171875
2019-03-07,43.125,45.279998779296875,46.810001373291016,18.694000244140625
2019-03-08,43.227500915527344,44.84000015258789,46.58000183105469,18.97599983215332
2019-03-11,44.724998474121094,46.18000030517578,47.119998931884766,20.038999557495117
2019-03-12,45.227500915527344,46.04999923706055,46.95000076293945,20.246999740600586
2019-03-13,45.4275016784668,46.220001220703125,47.279998779296875,20.551000595092773
2019-03-14,45.932498931884766,45.70000076293945,47.349998474121094,20.822999954223633
2019-03-15,46.529998779296875,45.29999923706055,47.79999923706055,20.597999572753906
2019-03-18,47.005001068115234,45.40999984741211,48.040000915527344,20.57699966430664
2019-03-19,46.63249969482422,45.560001373291016,48.2400016784668,20.208999633789062
2019-03-20,47.040000915527344,45.529998779296875,48.18000030517578,20.134000778198242
2019-03-21,48.772499084472656,45.5099983215332,48.880001068115234,20.5
2019-03-22,47.76250076293945,45.93000030517578,49.130001068115234,19.875
2019-03-25,47.185001373291016,46.029998779296875,49.40999984741211,20.145000457763672
2019-03-26,46.6974983215332,46.63999938964844,49.790000915527344,20.437000274658203
2019-03-27,47.11750030517578,46.61000061035156,49.630001068115234,20.007999420166016
2019-03-28,47.18000030517578,46.58000183105469,49.349998474121094,20.344999313354492
2019-03-29,47.48749923706055,46.86000061035156,49.91999816894531,20.66200065612793
2019-04-01,47.810001373291016,46.720001220703125,49.689998626708984,20.604000091552734
2019-04-02,48.505001068115234,46.56999969482422,49.63999938964844,20.145999908447266
2019-04-03,48.837501525878906,46.18000030517578,49.72999954223633,20.511999130249023
2019-04-04,48.92250061035156,46.47999954223633,49.650001525878906,19.475000381469727
2019-04-05,49.25,46.470001220703125,49.68000030517578,19.665000915527344
2019-04-08,50.025001525878906,46.54999923706055,49.61000061035156,20.02400016784668
2019-04-09,49.875,46.66999816894531,49.63999938964844,20.395999908447266
2019-04-10,50.154998779296875,46.63999938964844,49.70000076293945,20.649999618530273
2019-04-11,49.73749923706055,46.709999084472656,49.66999816894531,21.099000930786133
2019-04-12,49.717498779296875,46.7400016784668,49.790000915527344,21.482999801635742
2019-04-15,49.807498931884766,47.0,50.279998779296875,21.80299949645996
2019-04-16,49.8125,46.95000076293945,50.119998931884766,21.540000915527344
2019-04-17,50.782501220703125,47.279998779296875,50.22999954223633,21.704999923706055
